source,metric,mean
Static,rho_selected_lt_0p7_rate,
CP-EFT,uncertainty_selected_mean,0.18165867117544013
EFT,uncertainty_selected_mean,0.17477452332774795
Greedy,uncertainty_selected_mean,0.057027157116681285
LB-Greedy,uncertainty_selected_mean,0.18460221004982785
Local-Only,uncertainty_selected_mean,0.0
Random,uncertainty_selected_mean,0.4091641197601954
Static,uncertainty_selected_mean,0.05881547878185903
CP-EFT,uncertainty_selected_p90,0.49861111119389534
EFT,uncertainty_selected_p90,0.5
Greedy,uncertainty_selected_p90,0.14635905226071674
LB-Greedy,uncertainty_selected_p90,0.5
Local-Only,uncertainty_selected_p90,0.0
Random,uncertainty_selected_p90,0.5
Static,uncertainty_selected_p90,0.1582703166330854
CP-EFT,chain_tx_total,232.38333333333333
EFT,chain_tx_total,275.96666666666664
Greedy,chain_tx_total,519.3416666666667
LB-Greedy,chain_tx_total,265.84166666666664
Local-Only,chain_tx_total,0.0
Random,chain_tx_total,89.625
Static,chain_tx_total,423.425
CP-EFT,chain_p95_mean,0.0
EFT,chain_p95_mean,0.0
Greedy,chain_p95_mean,0.0
LB-Greedy,chain_p95_mean,0.0
Local-Only,chain_p95_mean,0.0
Random,chain_p95_mean,0.0
Static,chain_p95_mean,0.0
CP-EFT,chain_pfail_mean,0.0
EFT,chain_pfail_mean,0.0
Greedy,chain_pfail_mean,0.0
LB-Greedy,chain_pfail_mean,0.0
Local-Only,chain_pfail_mean,0.0
Random,chain_pfail_mean,0.0
Static,chain_pfail_mean,0.0
CP-EFT,chain_risk_cost_total,0.0
EFT,chain_risk_cost_total,0.0
Greedy,chain_risk_cost_total,0.0
LB-Greedy,chain_risk_cost_total,0.0
Local-Only,chain_risk_cost_total,0.0
Random,chain_risk_cost_total,0.0
Static,chain_risk_cost_total,0.0
CP-EFT,trust_attempts,216.2
EFT,trust_attempts,257.25
Greedy,trust_attempts,512.0583333333333
LB-Greedy,trust_attempts,242.71666666666667
Local-Only,trust_attempts,0.0
Random,trust_attempts,53.94166666666667
Static,trust_attempts,418.23333333333335
CP-EFT,trust_failures,47.225
EFT,trust_failures,58.5
Greedy,trust_failures,130.74166666666667
LB-Greedy,trust_failures,53.28333333333333
Local-Only,trust_failures,0.0
Random,trust_failures,11.85
Static,trust_failures,100.56666666666666
CP-EFT,trust_failure_rate,0.21445430351883632
EFT,trust_failure_rate,0.2236689113631403
Greedy,trust_failure_rate,0.2447519680103901
LB-Greedy,trust_failure_rate,0.21698471995107882
Local-Only,trust_failure_rate,0.0
Random,trust_failure_rate,0.21733445781059407
Static,trust_failure_rate,0.23138528569071895
CP-EFT,trust_retry_count,47.225
EFT,trust_retry_count,58.5
Greedy,trust_retry_count,130.74166666666667
LB-Greedy,trust_retry_count,53.28333333333333
