phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
前期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,10,10,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,95.35147238629825,3.9519281062907914,10,10,matched_tail_raw_baseline
中期,EFT,EFT,subtask_success_rate,子任务成功率,higher,90.14132277659199,5.482721111632693,10,10,matched_tail_raw_baseline
中期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.64402900210688,2.6752314094815874,10,10,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,subtask_success_rate,子任务成功率,higher,90.27028880869352,5.541043302662257,10,10,matched_tail_raw_baseline
中期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,69.02806574106657,6.902124111768857,10,10,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,subtask_success_rate,子任务成功率,higher,90.93515027603473,5.900069973916635,10,10,matched_tail_raw_baseline
中期,Random,Random,subtask_success_rate,子任务成功率,higher,42.660731623615916,7.5223506462452265,10,10,matched_tail_raw_baseline
中期,Static,Static,subtask_success_rate,子任务成功率,higher,93.08031648360162,4.5435239502968425,10,10,matched_tail_raw_baseline
