episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
31,EFT,-3.5906862813717373,-718.1372562743475,0.25,0.25,0.6163069544364509,0.83,0.92725,0.04125,0.0315,0.92725,0.04125,0.0315,0.014579392906940129,0.2004040262122354,1.0,20.000000000000014,23.243247318267827,7.779999999999989,7.779999999999989,9.099999999999984,0.75,1.0,0.0,0.918,0.0,6.746505732735386e-06,0.0,1.352940648402523e-09,6.746505732735386e-06,1.352940648402523e-09,0.6853324174880981,0.5,0.09807117283344269,,,,,0.16970284283161163,0.5,289,0.0,0.0,0.0,272,53,0.1948529411764706,53,0.118,2.275
32,EFT,-1.9632762590367556,-302.34454389166035,0.4,0.4,0.7524038461538461,0.9426229508196722,0.8668831168831169,0.07467532467532467,0.05844155844155844,0.8668831168831169,0.07467532467532467,0.05844155844155844,0.015992153013524565,0.12013617385769676,1.0,15.399999999999961,18.48089085578917,10.187499999999979,10.187499999999979,13.754999999999965,0.6,0.0,0.0,0.8522727272727273,0.0,1.8758499891191605e-06,0.0,1.1436922242591407e-10,1.8758499891191605e-06,1.1436922242591407e-10,0.6191860437393188,0.4000000059604645,0.12668246030807495,,,,,0.1320827752351761,0.5,410,0.0,0.0,0.0,397,127,0.3198992443324937,127,0.24383116883116884,3.9285714285714284
33,EFT,-5.515385967789241,-1103.0771935578482,0.15,0.15,0.43427230046948356,0.7058823529411765,0.9455,0.03375,0.02075,0.9455,0.03375,0.02075,0.0116231690990379,0.2132691577805119,1.0,20.000000000000014,23.950425815582275,7.29999999999999,7.29999999999999,9.559999999999981,0.85,1.0,0.0,0.93775,0.0,3.905248377122916e-06,4.3561204990383295e-12,6.7130301317774865e-09,3.905248377122916e-06,6.7130301317774865e-09,0.6762072443962097,0.5,0.10359486192464828,,,,,0.18961887061595917,0.5,215,0.0,0.0,0.0,195,43,0.2205128205128205,43,0.0715,1.33
34,EFT,-2.0009387058025045,-400.1877411605009,0.2,0.2,0.6820388349514563,0.831858407079646,0.918,0.04625,0.03575,0.918,0.04625,0.03575,0.016685291440035107,0.20347916390286708,1.0,20.000000000000014,24.56677942276001,8.124999999999988,8.124999999999988,10.924999999999978,0.8,1.0,0.0,0.9055,0.0,2.547549001974403e-06,0.0,3.6102507094959435e-10,2.547549001974403e-06,3.6102507094959435e-10,0.6593275666236877,0.31578946113586426,0.1169961541891098,,,,,0.1528204381465912,0.5,323,0.0,0.0,0.0,303,74,0.24422442244224424,74,0.18525,2.5
35,EFT,-1.3637999693020633,-272.75999386041264,0.35,0.35,0.7268408551068883,0.8829787234042553,0.91875,0.04775,0.0335,0.91875,0.04775,0.0335,0.008835621893507093,0.108746115612395,1.0,20.000000000000014,22.10750408172608,7.912499999999987,7.912499999999987,11.904999999999973,0.65,1.0,0.0,0.90675,0.0,2.6471659566595918e-06,0.0,5.6985225566075215e-11,2.6471659566595918e-06,5.6985225566075215e-11,0.759253203868866,0.5,0.070878766477108,,,,,0.1548924446105957,0.5,323,0.0,0.0,0.0,310,51,0.16451612903225807,51,0.12925,2.215
36,EFT,-4.940357607859879,-988.071521571976,0.15,0.15,0.40476190476190477,0.6176470588235294,0.94675,0.0315,0.02175,0.94675,0.0315,0.02175,0.012195231898353115,0.22901843940569233,1.0,20.000000000000014,24.127107334136962,7.233333333333324,7.233333333333324,11.129999999999976,0.85,1.0,0.0,0.9405,0.0,6.815886536060134e-06,0.0,5.898792210246029e-07,6.815886536060134e-06,5.898792210246029e-07,0.6866751909255981,0.5,0.09719949960708618,,,,,0.2107374370098114,0.5,213,0.0,0.0,0.0,186,38,0.20430107526881722,38,0.06825,1.445
37,EFT,-3.256691818483729,-498.2738482280105,0.4,0.4,0.667447306791569,0.9285714285714286,0.9013071895424837,0.06013071895424837,0.038562091503267976,0.9013071895424837,0.06013071895424837,0.038562091503267976,0.014876686898128565,0.15073729108699804,1.0,15.299999999999962,18.67363626480101,9.162499999999984,9.162499999999984,12.76999999999997,0.6,0.0,0.0,0.8892156862745098,0.0,4.0821382754074875e-06,0.0,1.7484586223304177e-08,4.0821382754074875e-06,1.7484586223304177e-08,0.7444244623184204,0.5,0.07409152388572693,,,,,0.152004674077034,0.5,302,0.0,0.0,0.0,292,41,0.1404109589041096,41,0.1415032679738562,3.176470588235294
38,EFT,-1.5334696917055666,-306.6939383411133,0.15,0.15,0.45083932853717024,0.7014925373134329,0.94425,0.03475,0.021,0.94425,0.03475,0.021,0.009600361663033883,0.1722037966463477,1.0,20.000000000000014,24.11004571914673,7.066666666666658,7.066666666666658,8.279999999999987,0.85,1.0,0.0,0.9355,0.0,2.5493677640042733e-06,0.0,4.673852277425894e-11,2.5493677640042733e-06,4.673852277425894e-11,0.6689225435256958,0.4658571481704712,0.10514228045940399,,,,,0.18517069518566132,0.5,212,0.0,0.0,0.0,191,47,0.24607329842931938,47,0.084,1.23
39,EFT,-2.279333681330749,-455.8667362661498,0.05,0.05,0.47030878859857483,0.7738095238095238,0.9385,0.0355,0.026,0.9385,0.0355,0.026,0.01107371628639008,0.1800604274209769,1.0,20.000000000000014,25.581001853942873,6.299999999999994,6.299999999999994,6.299999999999994,0.95,1.0,0.0,0.9285,0.0,3.923686563211959e-06,0.0,5.204840558548085e-09,3.923686563211959e-06,5.204840558548085e-09,0.6206854581832886,0.3636363744735718,0.13084471225738525,,,,,0.1816605180501938,0.5,245,0.0,0.0,0.0,221,62,0.28054298642533937,62,0.093,1.885
40,EFT,-3.052294939666371,-610.4589879332742,0.3,0.3,0.6320754716981132,0.8666666666666667,0.92675,0.044,0.02925,0.92675,0.044,0.02925,0.013850872581459462,0.18909041066838853,1.0,20.000000000000014,23.073524761199955,7.633333333333321,7.633333333333321,10.22499999999998,0.7,1.0,0.0,0.92,0.0,2.748849510680884e-06,0.0,1.258684823035594e-09,2.748849510680884e-06,1.258684823035594e-09,0.749357283115387,0.5,0.07083277404308319,,,,,0.1621483862400055,0.5,291,0.0,0.0,0.0,275,35,0.12727272727272726,35,0.1055,2.27
