episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
31,Random,-7.215550963890787,-1443.1101927781574,0.0,0.0,0.08633093525179857,0.41509433962264153,0.06975,0.117,0.81325,0.06975,0.117,0.81325,0.6272346837538981,0.5992847984454693,0.9625021461978641,20.000000000000014,25.88534927368164,0.0,0.0,0.0,1.0,1.0,0.0,0.98175,0.0,1.0513367669773288e-06,1.974108159927268e-12,4.5142732574277034e-07,1.0513367669773288e-06,4.5142732574277034e-07,0.5420398116111755,0.5,0.15755413472652435,,,,,0.4375621974468231,0.5,67,0.0,0.0,0.0,36,6,0.16666666666666666,6,0.035,0.055
32,Random,-7.302076999958972,-1460.4153999917944,0.0,0.0,0.14182692307692307,0.5063291139240507,0.0815,0.12725,0.79125,0.0815,0.12725,0.79125,0.6311345717467514,0.5984045419126327,0.961197625023775,20.000000000000014,26.076435089111328,0.0,0.0,0.0,1.0,1.0,0.0,0.97275,0.0,3.97349867853336e-06,3.663927668207112e-12,7.964588633058156e-08,3.97349867853336e-06,7.964588633058156e-08,0.581081211566925,0.5,0.14037232100963593,,,,,0.3781304359436035,0.5,98,0.0,0.0,0.0,59,7,0.11864406779661017,7,0.07275,0.09
33,Random,-8.693027425206191,-1738.6054850412381,0.0,0.0,0.09859154929577464,0.3870967741935484,0.08,0.10925,0.81075,0.08,0.10925,0.81075,0.634311219390367,0.6025121949895282,0.9636948312871529,20.000000000000014,25.815837860107422,0.0,0.0,0.0,1.0,1.0,0.0,0.97825,0.0,6.752990429959027e-06,8.249688258910037e-12,9.840880466072122e-07,6.752990429959027e-06,9.840880466072122e-07,0.5311403870582581,0.5,0.16355712711811066,,,,,0.4355263411998749,0.5,76,0.0,0.0,0.0,38,6,0.15789473684210525,6,0.03875,0.06
34,Random,-6.23989812001359,-1247.979624002718,0.0,0.0,0.08009708737864078,0.423728813559322,0.064,0.11675,0.81925,0.064,0.11675,0.81925,0.6241125390001525,0.5984108322651208,0.9630839399365786,20.000000000000014,25.6395320892334,0.0,0.0,0.0,1.0,1.0,0.0,0.98075,0.0,2.5205408746842295e-06,4.8635323199319735e-12,8.132207085509435e-08,2.5205408746842295e-06,8.132207085509435e-08,0.5595564246177673,0.5,0.14963890612125397,,,,,0.4094911813735962,0.5,73,0.0,0.0,0.0,39,8,0.20512820512820512,8,0.0445,0.055
35,Random,-11.09439727778436,-2218.879455556872,0.0,0.0,0.07363420427553444,0.38333333333333336,0.086,0.12,0.794,0.086,0.12,0.794,0.63672612429172,0.6025449937546156,0.9662749134417882,20.000000000000014,25.30255889892578,0.0,0.0,0.0,1.0,1.0,0.0,0.9785,0.0,1.6794203475001268e-05,4.2163703084519e-11,0.00019952624279540032,1.6794203475001268e-05,0.00019952624279540032,0.5272727012634277,0.5,0.16561123728752136,,,,,0.4279220998287201,0.5,77,0.0,0.0,0.0,40,15,0.375,15,0.0495,0.04
36,Random,-10.990721703701743,-2198.1443407403485,0.0,0.0,0.07380952380952381,0.4406779661016949,0.073,0.103,0.824,0.073,0.103,0.824,0.629076596621125,0.5998668787714403,0.9671705751123276,20.000000000000014,25.31601333618164,0.0,0.0,0.0,1.0,1.0,0.0,0.981,0.0,2.376573547735461e-06,3.399887316124506e-11,3.1854963822297577e-07,2.376573547735461e-06,3.1854963822297577e-07,0.5406103730201721,0.5,0.15905062854290009,,,,,0.4274648129940033,0.5,71,0.0,0.0,0.0,38,9,0.23684210526315788,9,0.0345,0.05
37,Random,-8.649296194468626,-1729.859238893725,0.0,0.0,0.1405152224824356,0.5733333333333334,0.08925,0.118,0.79275,0.08925,0.118,0.79275,0.6406572289410222,0.6054430183266788,0.9591334745428473,20.000000000000014,25.471452713012695,0.0,0.0,0.0,1.0,1.0,0.0,0.97275,0.0,7.589249889861094e-06,5.109593737701035e-12,6.599914922844619e-05,7.589249889861094e-06,6.599914922844619e-05,0.5682283043861389,0.5,0.14583313465118408,,,,,0.40422430634498596,0.5,93,0.0,0.0,0.0,61,10,0.16393442622950818,10,0.0855,0.04
38,Random,-3.966089968069404,-793.2179936138808,0.0,0.0,0.07673860911270983,0.4,0.06625,0.10725,0.8265,0.06625,0.10725,0.8265,0.623007349734732,0.5962595445619623,0.9629911149284792,20.000000000000014,25.497407913208008,0.0,0.0,0.0,1.0,1.0,0.0,0.9795,0.0,2.572244966358994e-06,2.724522647420957e-12,5.83599168990645e-09,2.572244966358994e-06,5.83599168990645e-09,0.5299702882766724,0.5,0.16406342387199402,,,,,0.435952365398407,0.5,80,0.0,0.0,0.0,41,10,0.24390243902439024,10,0.05,0.055
39,Random,-7.905630065018876,-1581.1260130037751,0.0,0.0,0.09263657957244656,0.44642857142857145,0.0705,0.10525,0.82425,0.0705,0.10525,0.82425,0.6264770904802186,0.5981464125661295,0.9595705340621574,20.000000000000014,26.183324813842773,0.0,0.0,0.0,1.0,1.0,0.0,0.97775,0.0,6.958078756724717e-06,6.830516187383839e-12,1.1196593732165638e-06,6.958078756724717e-06,1.1196593732165638e-06,0.531705915927887,0.3333333432674408,0.16380436718463898,,,,,0.4049729108810425,0.5,79,0.0,0.0,0.0,48,16,0.3333333333333333,16,0.03725,0.095
40,Random,-8.838628858060057,-1767.7257716120114,0.0,0.0,0.1179245283018868,0.47058823529411764,0.074,0.1125,0.8135,0.074,0.1125,0.8135,0.6303197506313196,0.6007772685003447,0.9578282712367029,20.000000000000014,27.010334014892578,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,5.310049346007872e-06,7.03990598455162e-12,1.3769636098004412e-06,5.310049346007872e-06,1.3769636098004412e-06,0.5442264080047607,0.5,0.1572067141532898,,,,,0.4017355442047119,0.5,91,0.0,0.0,0.0,55,12,0.21818181818181817,12,0.0705,0.075
