phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.0012579025440998602,0.0018547498025298734,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.03666450584874498,0.008927089356718472,20,20,matched_tail_raw_baseline
后期,Random,Random,reward_mean,平均步奖励,higher,-0.0021540296694902202,0.00023134217518955833,20,20,matched_tail_raw_baseline
后期,Static,Static,reward_mean,平均步奖励,higher,0.03995311193860418,0.008467535489560366,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.0438069067895412,0.011216146879361455,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,95.76652790411075,3.404522186568545,20,20,matched_tail_raw_baseline
中期,EFT,EFT,subtask_success_rate,子任务成功率,higher,90.80796801697952,5.259590215048391,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.45766130174316,3.1879398197954543,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,subtask_success_rate,子任务成功率,higher,90.78718687855817,5.352310862444726,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,67.32674236104025,6.788480533115653,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,subtask_success_rate,子任务成功率,higher,91.72642764731901,5.239667194373157,20,20,matched_tail_raw_baseline
中期,Random,Random,subtask_success_rate,子任务成功率,higher,41.30516537210623,5.734293724471948,20,20,matched_tail_raw_baseline
中期,Static,Static,subtask_success_rate,子任务成功率,higher,92.84666643784813,4.646251039059695,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,80.68376006109277,13.980363342242233,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,95.76652790411075,3.404522186568545,20,20,matched_tail_raw_baseline
前期,EFT,EFT,subtask_success_rate,子任务成功率,higher,90.80796801697952,5.259590215048391,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.45766130174316,3.1879398197954543,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,subtask_success_rate,子任务成功率,higher,90.78718687855817,5.352310862444726,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,67.32674236104025,6.788480533115653,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,subtask_success_rate,子任务成功率,higher,91.72642764731901,5.239667194373157,20,20,matched_tail_raw_baseline
前期,Random,Random,subtask_success_rate,子任务成功率,higher,41.30516537210623,5.734293724471948,20,20,matched_tail_raw_baseline
前期,Static,Static,subtask_success_rate,子任务成功率,higher,92.84666643784813,4.646251039059695,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,91.13908087408949,5.555583039664566,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,95.76652790411075,3.404522186568545,20,20,matched_tail_raw_baseline
后期,EFT,EFT,subtask_success_rate,子任务成功率,higher,90.80796801697952,5.259590215048391,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.45766130174316,3.1879398197954543,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,subtask_success_rate,子任务成功率,higher,90.78718687855817,5.352310862444726,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,67.32674236104025,6.788480533115653,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,subtask_success_rate,子任务成功率,higher,91.72642764731901,5.239667194373157,20,20,matched_tail_raw_baseline
后期,Random,Random,subtask_success_rate,子任务成功率,higher,41.30516537210623,5.734293724471948,20,20,matched_tail_raw_baseline
后期,Static,Static,subtask_success_rate,子任务成功率,higher,92.84666643784813,4.646251039059695,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,93.23201144743237,6.103527825731667,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,79.75,11.410406146191844,20,20,matched_tail_raw_baseline
中期,EFT,EFT,task_success_rate,任务成功率,higher,69.25,11.951106533221978,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,task_success_rate,任务成功率,higher,82.75,8.346918750747424,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,task_success_rate,任务成功率,higher,69.0,12.204399551844105,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,16.5,9.333020044867295,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,task_success_rate,任务成功率,higher,69.75,13.325381400683593,20,20,matched_tail_raw_baseline
中期,Random,Random,task_success_rate,任务成功率,higher,0.5,1.538967528127731,20,20,matched_tail_raw_baseline
中期,Static,Static,task_success_rate,任务成功率,higher,76.75,9.634778013448003,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,45.25,30.714089000943762,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,79.75,11.410406146191844,20,20,matched_tail_raw_baseline
前期,EFT,EFT,task_success_rate,任务成功率,higher,69.25,11.951106533221978,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,task_success_rate,任务成功率,higher,82.75,8.346918750747424,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,task_success_rate,任务成功率,higher,69.0,12.204399551844105,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,16.5,9.333020044867295,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,task_success_rate,任务成功率,higher,69.75,13.325381400683593,20,20,matched_tail_raw_baseline
前期,Random,Random,task_success_rate,任务成功率,higher,0.5,1.538967528127731,20,20,matched_tail_raw_baseline
前期,Static,Static,task_success_rate,任务成功率,higher,76.75,9.634778013448003,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,71.5,14.60893742308382,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,79.75,11.410406146191844,20,20,matched_tail_raw_baseline
后期,EFT,EFT,task_success_rate,任务成功率,higher,69.25,11.951106533221978,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,task_success_rate,任务成功率,higher,82.75,8.346918750747424,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,task_success_rate,任务成功率,higher,69.0,12.204399551844105,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,16.5,9.333020044867295,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,task_success_rate,任务成功率,higher,69.75,13.325381400683593,20,20,matched_tail_raw_baseline
后期,Random,Random,task_success_rate,任务成功率,higher,0.5,1.538967528127731,20,20,matched_tail_raw_baseline
后期,Static,Static,task_success_rate,任务成功率,higher,76.75,9.634778013448003,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,77.5,10.32370802417528,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,EFT,EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,Random,Random,time_limit_rate,时间上限截断率,lower,70.0,47.016234598162725,20,20,matched_tail_raw_baseline
中期,Static,Static,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,time_limit_rate,时间上限截断率,lower,20.0,41.03913408340616,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,EFT,EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Random,Random,time_limit_rate,时间上限截断率,lower,70.0,47.016234598162725,20,20,matched_tail_raw_baseline
前期,Static,Static,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,EFT,EFT,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,time_limit_rate,时间上限截断率,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Random,Random,time_limit_rate,时间上限截断率,lower,70.0,47.016234598162725,20,20,matched_tail_raw_baseline
