episode,step,veh_id,target,power,reward,q_len
1,30,10,9,0.772,-0.020,0
1,30,11,9,0.440,-0.020,0
1,31,0,3,0.137,0.012,0
1,31,1,2,0.213,0.012,0
1,31,2,1,0.414,0.012,0
1,31,3,1,0.766,0.012,0
1,31,4,0,0.800,0.012,0
1,31,5,7,0.591,0.012,0
1,31,6,8,0.215,0.012,0
1,31,7,5,0.530,0.012,0
1,31,8,7,0.807,0.012,0
1,31,9,10,0.671,0.012,0
1,31,10,6,0.853,0.012,0
1,31,11,5,0.149,0.012,0
1,32,0,9,0.753,0.030,0
1,32,1,4,0.786,0.030,0
1,32,2,11,0.533,0.030,0
1,32,3,3,0.654,0.030,0
1,32,4,0,0.477,0.030,0
1,32,5,4,0.477,0.030,0
1,32,6,1,0.697,0.030,0
1,32,7,9,0.463,0.030,0
1,32,8,9,0.912,0.030,0
1,32,9,3,0.722,0.030,0
1,32,10,5,0.277,0.030,0
1,32,11,5,0.608,0.030,0
1,33,0,11,0.194,-0.007,0
1,33,1,2,0.720,-0.007,0
1,33,2,1,0.404,-0.007,0
1,33,3,3,0.683,-0.007,0
1,33,4,12,0.631,-0.007,0
1,33,5,3,0.430,-0.007,0
1,33,6,11,0.267,-0.007,0
1,33,7,4,0.255,-0.007,0
1,33,8,7,0.593,-0.007,0
1,33,9,3,0.545,-0.007,0
1,33,10,2,0.673,-0.007,0
1,33,11,11,0.677,-0.007,0
1,34,0,4,0.295,-0.019,0
1,34,1,0,0.180,-0.019,0
1,34,2,8,0.801,-0.019,0
1,34,3,4,0.231,-0.019,0
1,34,4,6,0.377,-0.019,0
1,34,5,4,0.365,-0.019,0
1,34,6,12,0.283,-0.019,0
1,34,7,3,0.313,-0.019,0
1,34,8,9,0.351,-0.019,0
1,34,9,3,0.194,-0.019,0
1,34,10,8,0.770,-0.019,0
1,34,11,10,0.772,-0.019,0
1,35,0,6,0.567,0.002,0
1,35,1,8,0.571,0.002,0
1,35,2,6,0.209,0.002,0
1,35,3,10,0.381,0.002,0
1,35,4,8,0.553,0.002,0
1,35,5,5,0.941,0.002,0
1,35,6,1,0.945,0.002,0
1,35,7,5,0.392,0.002,0
1,35,8,11,0.302,0.002,0
1,35,9,4,0.514,0.002,0
1,35,10,0,0.606,0.002,0
1,35,11,2,0.586,0.002,0
1,36,0,3,0.374,-0.304,0
1,36,1,1,0.563,-0.304,0
1,36,2,1,0.236,-0.304,0
1,36,3,2,0.146,-0.304,0
1,36,4,7,0.269,-0.304,0
1,36,5,6,0.290,-0.304,0
1,36,6,9,0.439,-0.304,0
1,36,7,10,0.668,-0.304,0
1,36,8,12,0.239,-0.304,0
1,36,9,8,0.545,-0.304,0
1,36,10,4,0.340,-0.304,0
1,36,11,4,0.211,-0.304,0
1,37,0,5,0.229,0.034,0
1,37,1,9,0.266,0.034,0
1,37,2,6,0.543,0.034,0
1,37,3,0,0.487,0.034,0
1,37,4,10,0.280,0.034,0
1,37,5,0,0.621,0.034,0
1,37,6,6,0.578,0.034,0
1,37,7,5,0.219,0.034,0
1,37,8,11,0.746,0.034,0
1,37,9,12,0.459,0.034,0
1,37,10,9,0.819,0.034,0
1,37,11,8,0.142,0.034,0
1,38,0,9,0.332,-0.017,0
1,38,1,0,0.981,-0.017,0
1,38,2,2,0.683,-0.017,0
1,38,3,2,0.630,-0.017,0
1,38,4,12,0.769,-0.017,0
1,38,5,6,0.628,-0.017,0
1,38,6,2,0.248,-0.017,0
1,38,7,4,0.841,-0.017,0
1,38,8,3,0.222,-0.017,0
1,38,9,9,0.235,-0.017,0
1,38,10,1,0.481,-0.017,0
1,38,11,8,0.283,-0.017,0
1,39,0,9,0.058,-0.007,0
1,39,1,9,0.639,-0.007,0
1,39,2,12,0.629,-0.007,0
1,39,3,2,0.822,-0.007,0
1,39,4,5,0.313,-0.007,0
1,39,5,7,0.560,-0.007,0
1,39,6,10,0.445,-0.007,0
1,39,7,9,0.571,-0.007,0
1,39,8,12,0.553,-0.007,0
1,39,9,12,0.398,-0.007,0
1,39,10,4,0.116,-0.007,0
1,39,11,7,0.511,-0.007,0
1,40,0,11,0.345,0.027,0
1,40,1,1,0.716,0.027,0
1,40,2,3,0.212,0.027,0
1,40,3,8,0.220,0.027,0
1,40,4,1,0.336,0.027,0
1,40,5,9,0.407,0.027,0
1,40,6,0,0.510,0.027,0
1,40,7,6,0.212,0.027,0
1,40,8,10,0.149,0.027,0
1,40,9,6,0.608,0.027,0
1,40,10,3,0.404,0.027,0
1,40,11,9,0.443,0.027,0
1,41,0,3,0.637,-0.013,0
1,41,1,8,0.848,-0.013,0
1,41,2,3,0.466,-0.013,0
1,41,3,3,0.613,-0.013,0
1,41,4,4,0.894,-0.013,0
1,41,5,10,0.660,-0.013,0
1,41,6,6,0.588,-0.013,0
1,41,7,4,0.274,-0.013,0
1,41,8,9,0.879,-0.013,0
1,41,9,10,0.676,-0.013,0
1,41,10,9,0.718,-0.013,0
1,41,11,2,0.243,-0.013,0
1,42,0,11,0.175,0.105,0
1,42,1,7,0.756,0.105,0
1,42,2,2,0.350,0.105,0
1,42,3,10,0.602,0.105,0
1,42,4,6,0.759,0.105,0
1,42,5,9,0.142,0.105,0
1,42,6,5,0.091,0.105,0
1,42,7,12,0.342,0.105,0
1,42,8,3,0.783,0.105,0
1,42,9,11,0.355,0.105,0
1,42,10,0,0.903,0.105,0
1,42,11,9,0.179,0.105,0
1,43,0,8,0.856,-0.017,0
1,43,1,6,0.426,-0.017,0
1,43,2,1,0.529,-0.017,0
1,43,3,10,0.254,-0.017,0
1,43,4,6,0.578,-0.017,0
1,43,5,0,0.041,-0.017,0
1,43,6,11,0.290,-0.017,0
1,43,7,2,0.445,-0.017,0
1,43,8,0,0.748,-0.017,0
1,43,9,9,0.347,-0.017,0
1,43,10,8,0.302,-0.017,0
