window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
末100,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.16743443911477435,5.579080615598709e-17,0.1674344391147743,0.1674344391147743,0.1674344391147743,0.16743443911477435,0.16743443911477435,100,3.0
末100,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.2047449776341522,0.0,0.2047449776341522,0.2047449776341522,0.2047449776341522,0.2047449776341522,0.2047449776341522,100,4.0
末100,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4353003403801614,0.01572808102844795,0.41458036642793195,0.4337065736260765,0.4556260527503317,0.43223056428840806,0.4383247907289404,100,5.0
末100,Random,Random,power_ratio_mean,远端功率比例,lower,0.6069709210970853,1.1158161231197418e-16,0.6069709210970852,0.6069709210970852,0.6069709210970852,0.6069709210970853,0.6069709210970853,100,6.0
末100,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7.0
末100,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7.0
末300,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,1.0
末300,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.16199036068297737,2.7801950878738235e-17,0.1619903606829774,0.1619903606829774,0.1619903606829774,0.16199036068297737,0.16199036068297737,300,2.0
末300,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.16743443911477432,2.7801950878738235e-17,0.1674344391147743,0.1674344391147743,0.1674344391147743,0.16743443911477432,0.16743443911477432,300,3.0
末300,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.20474497763415217,2.7801950878738235e-17,0.2047449776341522,0.2047449776341522,0.2047449776341522,0.20474497763415217,0.20474497763415217,300,4.0
末300,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.44583052708430454,0.01676942941229656,0.4233111456222509,0.4468410626465922,0.4698256251418759,0.4439467738627602,0.44770866137486853,300,5.0
末300,Random,Random,power_ratio_mean,远端功率比例,lower,0.6069709210970852,0.0,0.6069709210970852,0.6069709210970852,0.6069709210970852,0.6069709210970852,0.6069709210970852,300,6.0
末300,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,300,7.0
末300,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,300,7.0
末500,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,1.0
末500,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.16199036068297737,2.778337289411855e-17,0.1619903606829774,0.1619903606829774,0.1619903606829774,0.16199036068297737,0.16199036068297737,500,2.0
末500,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.16743443911477435,5.55667457882371e-17,0.1674344391147743,0.1674344391147743,0.1674344391147743,0.16743443911477435,0.16743443911477435,500,3.0
末500,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.20474497763415214,5.55667457882371e-17,0.2047449776341522,0.2047449776341522,0.2047449776341522,0.20474497763415214,0.20474497763415214,500,4.0
末500,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.441152701248575,0.020446191051933207,0.41812332563879046,0.44059603374324846,0.46909055259934,0.4394869274823002,0.4429114519779713,500,5.0
末500,Random,Random,power_ratio_mean,远端功率比例,lower,0.6069709210970853,1.111334915764742e-16,0.6069709210970852,0.6069709210970852,0.6069709210970852,0.6069709210970853,0.6069709210970853,500,6.0
末500,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,7.0
末500,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,7.0
全程,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.015668888755243617,0.005703113998014164,-0.0166600863450294,-0.0166600863450294,-0.0166600863450294,-0.016013219133672655,-0.015287715109900867,1000,1.0
全程,Static,Static,reward_mean,平均步奖励,higher,-0.09231829653482933,0.016930846302727315,-0.0951187139657496,-0.0951187139657496,-0.0951187139657496,-0.09337048868203729,-0.09121668651594211,1000,2.0
全程,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.3278443249514216,0.026070793507676132,-0.3285329683760716,-0.3285329683760716,-0.3285329683760716,-0.3294160627093838,-0.32619521245926913,1000,3.0
全程,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.7795605748732387,2.0156913095327207,-3.4130880594253536,-0.014451859053224301,0.01101979361847036,-0.9010211625009982,-0.6536888073263764,1000,4.0
